n,accuracy,f1,precision,recall,true_positive_rate,predicted_positive_rate,tp,tn,fp,fn,run_idx,valid_predictions,expected_predictions,valid_prediction_rate,elapsed_s,parse_error
64,0.71875,0.625,0.9375,0.46875,0.5,0.25,15,31,1,17,0,64,64,1.0,7.397613752633333,
64,0.625,0.4285714285714286,0.9,0.28125,0.5,0.15625,9,31,1,23,1,64,64,1.0,7.310305294580758,
64,0.53125,0.11764705882352941,1.0,0.0625,0.5,0.03125,2,32,0,30,2,64,64,1.0,7.301869603805244,
64,0.625,0.4,1.0,0.25,0.5,0.125,8,32,0,24,3,64,64,1.0,7.297707068733871,
64,0.796875,0.7636363636363634,0.9130434782608695,0.65625,0.5,0.359375,21,30,2,11,4,64,64,1.0,7.317567506805062,
64,0.6875,0.5833333333333334,0.875,0.4375,0.5,0.25,14,30,2,18,5,64,64,1.0,7.3093015579506755,
64,0.75,0.7241379310344829,0.8076923076923077,0.65625,0.5,0.40625,21,27,5,11,6,64,64,1.0,7.3100812546908855,
64,0.84375,0.8275862068965517,0.9230769230769231,0.75,0.5,0.40625,24,30,2,8,7,64,64,1.0,7.400415097363293,
64,0.8125,0.7777777777777778,0.9545454545454546,0.65625,0.5,0.34375,21,31,1,11,8,64,64,1.0,7.29312286619097,
64,0.546875,0.35555555555555557,0.6153846153846154,0.25,0.5,0.203125,8,27,5,24,9,64,64,1.0,7.308184794150293,
64,0.546875,0.21621621621621623,0.8,0.125,0.5,0.078125,4,31,1,28,10,64,64,1.0,7.303580801002681,
64,0.75,0.7037037037037037,0.8636363636363636,0.59375,0.5,0.34375,19,29,3,13,11,64,64,1.0,7.287968881428242,
64,0.640625,0.4888888888888889,0.8461538461538461,0.34375,0.5,0.203125,11,30,2,21,12,64,64,1.0,7.304825505241752,
64,0.671875,0.5882352941176471,0.7894736842105263,0.46875,0.5,0.296875,15,28,4,17,13,64,64,1.0,7.389622330665588,
64,0.578125,0.425531914893617,0.6666666666666666,0.3125,0.5,0.234375,10,27,5,22,14,64,64,1.0,7.27947486191988,
64,0.5,0.0,0.0,0.0,0.5,0.0,0,32,0,32,15,64,64,1.0,7.2973364274948835,
64,0.671875,0.5882352941176471,0.7894736842105263,0.46875,0.5,0.296875,15,28,4,17,16,64,64,1.0,7.298641358502209,
64,0.5625,0.3333333333333333,0.7,0.21875,0.5,0.15625,7,29,3,25,17,64,64,1.0,7.29831157438457,
64,0.5,0.0,0.0,0.0,0.5,0.0,0,32,0,32,18,64,64,1.0,7.309228931553662,
64,0.734375,0.7017543859649122,0.8,0.625,0.5,0.390625,20,27,5,12,19,64,64,1.0,7.303104484453797,
