n,accuracy,f1,precision,recall,true_positive_rate,predicted_positive_rate,tp,tn,fp,fn,run_idx,valid_predictions,expected_predictions,valid_prediction_rate,elapsed_s,parse_error
64,0.484375,0.10810810810810811,0.4,0.0625,0.5,0.078125,2,29,3,30,0,64,64,1.0,8.409728802740574,
63,0.5396825396825397,0.1714285714285714,0.75,0.0967741935483871,0.49206349206349204,0.06349206349206349,3,31,1,28,1,63,64,0.984375,7.174265978857875,
64,0.453125,0.05405405405405406,0.2,0.03125,0.5,0.078125,1,28,4,31,2,64,64,1.0,7.2651819894090295,
64,0.515625,0.20512820512820512,0.5714285714285714,0.125,0.5,0.109375,4,29,3,28,3,64,64,1.0,7.293901353143156,
64,0.515625,0.20512820512820512,0.5714285714285714,0.125,0.5,0.109375,4,29,3,28,4,64,64,1.0,7.28236934915185,
64,0.53125,0.2857142857142857,0.6,0.1875,0.5,0.15625,6,28,4,26,5,64,64,1.0,7.299777421168983,
64,0.53125,0.16666666666666666,0.75,0.09375,0.5,0.0625,3,31,1,29,6,64,64,1.0,7.2917685536667705,
64,0.515625,0.16216216216216214,0.6,0.09375,0.5,0.078125,3,30,2,29,7,64,64,1.0,7.297863323241472,
64,0.5625,0.2222222222222222,1.0,0.125,0.5,0.0625,4,32,0,28,8,64,64,1.0,7.286198594607413,
64,0.484375,0.0,0.0,0.0,0.5,0.015625,0,31,1,32,9,64,64,1.0,7.3032819060608745,
64,0.53125,0.21052631578947367,0.6666666666666666,0.125,0.5,0.09375,4,30,2,28,10,64,64,1.0,7.27499639429152,
64,0.515625,0.11428571428571428,0.6666666666666666,0.0625,0.5,0.046875,2,31,1,30,11,64,64,1.0,7.309666870161891,
64,0.5,0.23809523809523808,0.5,0.15625,0.5,0.15625,5,27,5,27,12,64,64,1.0,7.3167041121050715,
64,0.5,0.1111111111111111,0.5,0.0625,0.5,0.0625,2,30,2,30,13,64,64,1.0,7.27539492957294,
64,0.4375,0.05263157894736842,0.16666666666666666,0.03125,0.5,0.09375,1,27,5,31,14,64,64,1.0,7.295658057555556,
64,0.453125,0.14634146341463417,0.3333333333333333,0.09375,0.5,0.140625,3,26,6,29,15,64,64,1.0,7.305854468606412,
64,0.53125,0.16666666666666666,0.75,0.09375,0.5,0.0625,3,31,1,29,16,64,64,1.0,7.293532432988286,
64,0.515625,0.3111111111111111,0.5384615384615384,0.21875,0.5,0.203125,7,26,6,25,17,64,64,1.0,7.289304736070335,
64,0.4375,0.14285714285714285,0.3,0.09375,0.5,0.15625,3,25,7,29,18,64,64,1.0,7.283523936755955,
64,0.484375,0.10810810810810811,0.4,0.0625,0.5,0.078125,2,29,3,30,19,64,64,1.0,7.285986778326333,
