n,accuracy,f1,precision,recall,true_positive_rate,predicted_positive_rate,tp,tn,fp,fn,run_idx,valid_predictions,expected_predictions,valid_prediction_rate,elapsed_s,parse_error
64,0.46875,0.05555555555555555,0.25,0.03125,0.5,0.0625,1,29,3,31,0,64,64,1.0,7.289817405864596,
64,0.5,0.15789473684210525,0.5,0.09375,0.5,0.09375,3,29,3,29,1,64,64,1.0,7.312733484432101,
64,0.4375,0.1,0.25,0.0625,0.5,0.125,2,26,6,30,2,64,64,1.0,7.3083222303539515,
64,0.5,0.0,0.0,0.0,0.5,0.0,0,32,0,32,3,64,64,1.0,7.287768098525703,
64,0.53125,0.16666666666666666,0.75,0.09375,0.5,0.0625,3,31,1,29,4,64,64,1.0,7.306931867264211,
64,0.484375,0.05714285714285714,0.3333333333333333,0.03125,0.5,0.046875,1,30,2,31,5,64,64,1.0,7.406873072497547,
64,0.5,0.0,0.0,0.0,0.5,0.0,0,32,0,32,6,64,64,1.0,7.2956289276480675,
64,0.546875,0.21621621621621623,0.8,0.125,0.5,0.078125,4,31,1,28,7,64,64,1.0,7.295327531173825,
64,0.515625,0.06060606060606061,1.0,0.03125,0.5,0.015625,1,32,0,31,8,64,64,1.0,7.304916807450354,
64,0.484375,0.05714285714285714,0.3333333333333333,0.03125,0.5,0.046875,1,30,2,31,9,64,64,1.0,7.298603879287839,
64,0.515625,0.06060606060606061,1.0,0.03125,0.5,0.015625,1,32,0,31,10,64,64,1.0,7.294442747719586,
64,0.484375,0.0,0.0,0.0,0.5,0.015625,0,31,1,32,11,64,64,1.0,7.298404197208583,
64,0.515625,0.06060606060606061,1.0,0.03125,0.5,0.015625,1,32,0,31,12,64,64,1.0,7.2917983205989,
64,0.5,0.1111111111111111,0.5,0.0625,0.5,0.0625,2,30,2,30,13,64,64,1.0,7.272670427337289,
64,0.453125,0.10256410256410256,0.2857142857142857,0.0625,0.5,0.109375,2,27,5,30,14,64,64,1.0,7.291040971875191,
64,0.5,0.058823529411764705,0.5,0.03125,0.5,0.03125,1,31,1,31,15,64,64,1.0,7.292714402079582,
64,0.546875,0.25641025641025644,0.7142857142857143,0.15625,0.5,0.109375,5,30,2,27,16,64,64,1.0,7.309260625392199,
64,0.515625,0.16216216216216214,0.6,0.09375,0.5,0.078125,3,30,2,29,17,64,64,1.0,7.283498814329505,
64,0.515625,0.20512820512820512,0.5714285714285714,0.125,0.5,0.109375,4,29,3,28,18,64,64,1.0,7.3059487249702215,
64,0.515625,0.11428571428571428,0.6666666666666666,0.0625,0.5,0.046875,2,31,1,30,19,64,64,1.0,7.2889444241300225,
