n,accuracy,f1,precision,recall,true_positive_rate,predicted_positive_rate,tp,tn,fp,fn,run_idx,valid_predictions,expected_predictions,valid_prediction_rate,elapsed_s,parse_error
64,0.59375,0.4800000000000001,0.6666666666666666,0.375,0.5,0.28125,12,26,6,20,0,64,64,1.0,7.294130717404187,
64,0.625,0.4782608695652174,0.7857142857142857,0.34375,0.5,0.21875,11,29,3,21,1,64,64,1.0,7.304355942644179,
64,0.671875,0.5882352941176471,0.7894736842105263,0.46875,0.5,0.296875,15,28,4,17,2,64,64,1.0,7.381491838954389,
64,0.765625,0.7272727272727273,0.8695652173913043,0.625,0.5,0.359375,20,29,3,12,3,64,64,1.0,7.296595229767263,
64,0.515625,0.11428571428571428,0.6666666666666666,0.0625,0.5,0.046875,2,31,1,30,4,64,64,1.0,7.243143564090133,
64,0.53125,0.16666666666666666,0.75,0.09375,0.5,0.0625,3,31,1,29,5,64,64,1.0,7.287559867836535,
64,0.5,0.0,0.0,0.0,0.5,0.0,0,32,0,32,6,64,64,1.0,7.294287079013884,
64,0.640625,0.43902439024390244,1.0,0.28125,0.5,0.140625,9,32,0,23,7,64,64,1.0,7.289849574677646,
64,0.6875,0.6,0.8333333333333334,0.46875,0.5,0.28125,15,29,3,17,8,64,64,1.0,7.302136978134513,
64,0.734375,0.711864406779661,0.7777777777777778,0.65625,0.5,0.421875,21,26,6,11,9,64,64,1.0,7.370380871929228,
64,0.59375,0.3157894736842105,1.0,0.1875,0.5,0.09375,6,32,0,26,10,64,64,1.0,7.288234415464103,
64,0.734375,0.6666666666666666,0.8947368421052632,0.53125,0.5,0.296875,17,30,2,15,11,64,64,1.0,7.307062339968979,
64,0.65625,0.47619047619047616,1.0,0.3125,0.5,0.15625,10,32,0,22,12,64,64,1.0,7.301718756556511,
64,0.6875,0.6,0.8333333333333334,0.46875,0.5,0.28125,15,29,3,17,13,64,64,1.0,7.3869210453704,
64,0.625,0.45454545454545453,0.8333333333333334,0.3125,0.5,0.1875,10,30,2,22,14,64,64,1.0,7.301912400871515,
64,0.703125,0.6122448979591837,0.8823529411764706,0.46875,0.5,0.265625,15,30,2,17,15,64,64,1.0,7.298939298838377,
64,0.703125,0.6545454545454547,0.782608695652174,0.5625,0.5,0.359375,18,27,5,14,16,64,64,1.0,7.3156344862654805,
64,0.53125,0.2857142857142857,0.6,0.1875,0.5,0.15625,6,28,4,26,17,64,64,1.0,7.296309976838529,
64,0.578125,0.4,0.6923076923076923,0.28125,0.5,0.203125,9,28,4,23,18,64,64,1.0,7.292048687115312,
64,0.5625,0.2631578947368421,0.8333333333333334,0.15625,0.5,0.09375,5,31,1,27,19,64,64,1.0,7.28868761844933,
