n,accuracy,f1,precision,recall,true_positive_rate,predicted_positive_rate,tp,tn,fp,fn,run_idx,valid_predictions,expected_predictions,valid_prediction_rate,elapsed_s,parse_error
64,0.546875,0.21621621621621623,0.8,0.125,0.5,0.078125,4,31,1,28,0,64,64,1.0,7.310766549780965,
64,0.609375,0.41860465116279066,0.8181818181818182,0.28125,0.5,0.171875,9,30,2,23,1,64,64,1.0,7.420817167498171,
64,0.65625,0.56,0.7777777777777778,0.4375,0.5,0.28125,14,28,4,18,2,64,64,1.0,7.387138370424509,
64,0.59375,0.35,0.875,0.21875,0.5,0.125,7,31,1,25,3,64,64,1.0,7.2991710575297475,
64,0.578125,0.34146341463414637,0.7777777777777778,0.21875,0.5,0.140625,7,30,2,25,4,64,64,1.0,7.287046366371214,
64,0.609375,0.358974358974359,1.0,0.21875,0.5,0.109375,7,32,0,25,5,64,64,1.0,7.295702859759331,
64,0.59375,0.3157894736842105,1.0,0.1875,0.5,0.09375,6,32,0,26,6,64,64,1.0,7.289600510150194,
64,0.765625,0.7058823529411765,0.9473684210526315,0.5625,0.5,0.296875,18,31,1,14,7,64,64,1.0,7.29332388844341,
64,0.578125,0.30769230769230765,0.8571428571428571,0.1875,0.5,0.109375,6,31,1,26,8,64,64,1.0,7.3005752339959145,
64,0.609375,0.3902439024390244,0.8888888888888888,0.25,0.5,0.140625,8,31,1,24,9,64,64,1.0,7.2963277623057365,
64,0.5,0.0,0.0,0.0,0.5,0.0,0,32,0,32,10,64,64,1.0,7.214402202516794,
64,0.53125,0.11764705882352941,1.0,0.0625,0.5,0.03125,2,32,0,30,11,64,64,1.0,7.302569883875549,
64,0.578125,0.34146341463414637,0.7777777777777778,0.21875,0.5,0.140625,7,30,2,25,12,64,64,1.0,7.301829447969794,
64,0.71875,0.64,0.8888888888888888,0.5,0.5,0.28125,16,30,2,16,13,64,64,1.0,7.2986549735069275,
64,0.65625,0.5416666666666666,0.8125,0.40625,0.5,0.25,13,29,3,19,14,64,64,1.0,7.215080161578953,
64,0.71875,0.64,0.8888888888888888,0.5,0.5,0.28125,16,30,2,16,15,64,64,1.0,7.321448042057455,
64,0.671875,0.5531914893617021,0.8666666666666667,0.40625,0.5,0.234375,13,30,2,19,16,64,64,1.0,7.301150184124708,
64,0.65625,0.5,0.9166666666666666,0.34375,0.5,0.1875,11,31,1,21,17,64,64,1.0,7.2966484017670155,
64,0.5625,0.36363636363636365,0.6666666666666666,0.25,0.5,0.1875,8,28,4,24,18,64,64,1.0,7.3026528069749475,
64,0.71875,0.6538461538461537,0.85,0.53125,0.5,0.3125,17,29,3,15,19,64,64,1.0,7.307906422764063,
